perspective_calendar_event,CS,CE,AE,AS,TV,OH,CH,SH,MI,ID,MS,MD,MA,MU,MH,WN,AD,`AD_0.33`,`AD_0.5`,IO,`IO_0.33`,`IO_0.5`,IS,`IS_0.33`,`IS_0.5`,OA,`OA_0.33`,`OA_0.5`,OI,`OI_0.33`,`OI_0.5`,OO,`OO_0.33`,`OO_0.5`,OS,`OS_0.33`,`OS_0.5`,OV,`OV_0.33`,`OV_0.5`,PT,`PT_0.33`,`PT_0.5`,SD,`SD_0.33`,`SD_0.5`,SI,`SI_0.33`,`SI_0.5`,SN,`SN_0.33`,`SN_0.5`,SO,`SO_0.33`,`SO_0.5`,SP,`SP_0.33`,`SP_0.5`,WO
CS,IGNORE,FORBIDDEN,FORBIDDEN,ALLOWED,,,,,,ALLOWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,FORBIDDEN,IGNORE,ALLOWED,FORBIDDEN,,,,,,ALLOWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,FORBIDDEN,ALLOWED,IGNORE,FORBIDDEN,,,,,,REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS,ALLOWED,FORBIDDEN,FORBIDDEN,IGNORE,,,,,,REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,,,,IGNORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,,,,,,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN
CH,,,,,,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN
SH,,,,,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN
MI,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN
ID,ALLOWED,ALLOWED,ALLOWED,ALLOWED,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE,ALLOWED,ALLOWED,ALLOWED,ALLOWED,ALLOWED,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,ALLOWED,ALLOWED,FORBIDDEN,ALLOWED,ALLOWED,FORBIDDEN,ALLOWED,ALLOWED,FORBIDDEN,ALLOWED,ALLOWED,FORBIDDEN,ALLOWED,ALLOWED,FORBIDDEN
MS,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,REQUIRED,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,REQUIRED,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,REQUIRED,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,REQUIRED,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,REQUIRED,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WN,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN
AD,,,,,,,,,,,,,,,,,IGNORE,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD_0.33,,,,,,,,,,,,,,,,,FORBIDDEN,IGNORE,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD_0.5,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,IGNORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,,,,,,,,,,,,,,,,,,,,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO_0.33,,,,,,,,,,,,,,,,,,,,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO_0.5,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_0.33,,,,,,,,,,,,,,,,,,,,FORBIDDEN,,FORBIDDEN,FORBIDDEN,IGNORE,FORBIDDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_0.5,,,,,,,,,,,,,,,,,,,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,IGNORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OA,,,,,,,,,,,,,,,,,,,,,,,,,,IGNORE,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,FORBIDDEN,,,,,,,,,,,,,,,,,,,
OA_0.33,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN,IGNORE,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,FORBIDDEN,,FORBIDDEN,,,,,,,,,,,,,,,,,,,
